301108994;41.17897;-8.681857;-0.151527;0.7187087
301110818;41.18233;-8.687881;-0.1516321;0.7187672
301110747;41.17878;-8.684503;-0.1515732;0.7187054
301110938;41.17478;-8.687938;-0.1516331;0.7186354
301110936;41.17852;-8.688381;-0.1516409;0.7187008
301111103;41.18388;-8.692782;-0.1517177;0.7187943
301111106;41.18672;-8.694961;-0.1517557;0.7188439
301111040;41.18119;-8.693116;-0.1517235;0.7187473
301111058;41.184;-8.694375;-0.1517455;0.7187964
301111026;41.18017;-8.690446;-0.1516769;0.7187295
301111104;41.18454;-8.693457;-0.1517294;0.7188057
1238436632;41.17991;-8.690498;-0.1516778;0.7187251
1238436633;41.18334;-8.693819;-0.1517358;0.7187849
1238436634;41.18008;-8.690546;-0.1516786;0.7187281
1238436635;41.18477;-8.695214;-0.1517601;0.7188099
1238436636;41.18574;-8.69619;-0.1517771;0.7188268
1238436637;41.17993;-8.690621;-0.15168;0.7187253
1238436639;41.18006;-8.690631;-0.1516801;0.7187276
1238436640;41.17991;-8.690582;-0.1516793;0.7187251
1238436641;41.17999;-8.690429;-0.1516766;0.7187263
1238436642;41.17997;-8.69066;-0.1516806;0.718726
1238436644;41.18021;-8.690792;-0.1516829;0.7187303
1238436645;41.18272;-8.693223;-0.1517254;0.7187741
1238436646;41.1809;-8.691466;-0.1516947;0.7187423
1238436647;41.18449;-8.694946;-0.1517554;0.718805
1238436643;41.18397;-8.694434;-0.1517465;0.7187958
1238436649;41.18138;-8.69191;-0.1517024;0.7187507
1238436650;41.18026;-8.690839;-0.1516837;0.718731
1238436651;41.1815;-8.692019;-0.1517043;0.7187528
1238436652;41.1851;-8.69553;-0.1517656;0.7188156
1238436653;41.18532;-8.695732;-0.1517692;0.7188194
1238436654;41.18009;-8.690667;-0.1516808;0.7187281
1238436655;41.18008;-8.690508;-0.151678;0.718728
1238436657;41.18;-8.690665;-0.1516807;0.7187266
1238436658;41.18008;-8.690597;-0.1516795;0.7187279
1238436659;41.1822;-8.692694;-0.1517161;0.718765
1238436660;41.18005;-8.690447;-0.1516769;0.7187274
1238436661;41.17993;-8.690463;-0.1516772;0.7187254
301111056;41.18162;-8.692026;-0.1517045;0.7187549
301111054;41.18016;-8.690661;-0.1516807;0.7187294
